Symbol,Company Name,Security Type,Security Price,Market Capitalization,Revenue (TTM),Sector,Industry,Sub-Industry,Company Headquarters Location
HII,Huntington Ingalls Industries Inc,Common Stock,181.04,$7.37B,8899,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
AXE,Anixter International Inc,Common Stock,87.94,$3.02B,8845.6,Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors,United States of America
ALK,Alaska Air Group Inc.,Common Stock,24.69,$3.03B,8781,Industrials,Airlines,Airlines,United States of America
DRI,Darden Restaurants Inc.,Common Stock,45.48,$5.35B,8765.9,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,United States of America
MPLX,MPLX LP,Unit Trust Fund,11.77,$12.47B,8751,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
CWK,Cushman & Wakefield Ltd,Common Stock,9.36,$2.14B,8751,Real Estate,Real Estate Management & Development,Real Estate Services,United States of America
DKS,Dick's Sporting Goods Inc.,Common Stock,18.32,$1.57B,8750.743,Consumer Discretionary,Specialty Retail,Specialty Stores,United States of America
CZR,Caesars Entertainment Corp,Common Stock,6.28,$4.10B,8742,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,United States of America
IEP,Icahn Enterprises LP,Unit Trust Fund,45.44,$10.26B,8720,Industrials,Industrial Conglomerates,Industrial Conglomerates,United States of America
TRGP,Targa Resources Corp,Common Stock,6.33,$1.47B,8671.1,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
DAN,Dana Inc,Common Stock,6.86,$1.04B,8620,Consumer Discretionary,Auto Components,Auto Parts & Equipment,United States of America
SPTN,SpartanNash Co,Common Stock,13.95,$523.09M,8536.065,Consumer Staples,Food & Staples Retailing,Food Distributors,United States of America
ES,Eversource Energy,Common Stock,75.06,$26.16B,8526.47,Utilities,Electric Utilities,Electric Utilities,United States of America
CHK,Chesapeake Energy Corp,Common Stock,0.1744,$327.68M,8489,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,United States of America
NOV,National Oilwell Varco Inc,Common Stock,9.85,$3.88B,8479,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,United States of America
FNF,Fidelity National Financial Inc FNF Group,Common Stock,23.25,$6.62B,8477,Financials,Insurance,Property & Casualty Insurance,United States of America
CASY,Casey's General Stores Inc.,Common Stock,120.57,$4.64B,8470.449,Consumer Staples,Food & Staples Retailing,Food Retail,United States of America
COTY,Coty Inc,Common Stock,4.6,$3.39B,8393.8,Consumer Staples,Personal Products,Personal Products,United States of America
WCC,WESCO International Inc,Common Stock,21.47,$950.88M,8358.917,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,United States of America
TSCO,Tractor Supply Co,Common Stock,79.5,$9.94B,8351.931,Consumer Discretionary,Specialty Retail,Specialty Stores,United States of America
COMM,CommScope Holding Co Inc,Common Stock,8.53,$1.69B,8345.1,Information Technology,Communications Equipment,Communications Equipment,United States of America
WAB,Wabtec Corp,Common Stock,44.06,$8.40B,8323,Industrials,Machinery,Construction Machinery & Heavy Trucks,United States of America
FTR,Frontier Communications Corp,Common Stock,0.36245,$37.93M,8289,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,United States of America
OSK,Oshkosh Corp,Common Stock,62.08,$4.36B,8273.7,Industrials,Machinery,Construction Machinery & Heavy Trucks,United States of America
STZ,Constellation Brands Inc,Common Stock,132.17,$25.04B,8237.8,Consumer Staples,Beverages,Distillers & Vintners,United States of America
